"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:29:15.3907088Z","301203456","301203456","431501312"
"2026-07-21T07:29:15.5167399Z","301203456","301203456","431501312"
"2026-07-21T07:29:15.6272848Z","301211648","301211648","431501312"
"2026-07-21T07:29:15.7365934Z","301211648","301211648","431501312"
"2026-07-21T07:29:15.8477770Z","301215744","301215744","431501312"
"2026-07-21T07:29:15.9578697Z","301215744","301215744","431501312"
"2026-07-21T07:29:16.0677940Z","301215744","301215744","431501312"
"2026-07-21T07:29:16.1762235Z","301219840","301219840","431501312"
"2026-07-21T07:29:16.2845973Z","301223936","301223936","431501312"
"2026-07-21T07:29:16.3957081Z","301223936","301223936","431501312"
"2026-07-21T07:29:16.5048039Z","301232128","301232128","431501312"
"2026-07-21T07:29:16.6144298Z","301240320","301240320","431501312"
"2026-07-21T07:29:16.7239387Z","301240320","301240320","431501312"
"2026-07-21T07:29:16.8342053Z","301240320","301240320","431501312"
"2026-07-21T07:29:16.9573526Z","301240320","301240320","431501312"
"2026-07-21T07:29:17.0852281Z","301240320","301240320","431501312"
"2026-07-21T07:29:17.2055906Z","301240320","301240320","431501312"
"2026-07-21T07:29:17.3168543Z","301244416","301244416","431501312"
"2026-07-21T07:29:17.4284374Z","301248512","301248512","431501312"
"2026-07-21T07:29:17.5358276Z","301248512","301248512","431501312"
"2026-07-21T07:29:17.6440469Z","301256704","301256704","431501312"
"2026-07-21T07:29:17.7515327Z","301256704","301256704","431501312"
"2026-07-21T07:29:17.8608785Z","301256704","301256704","431501312"
"2026-07-21T07:29:17.9697410Z","301260800","301260800","431501312"
"2026-07-21T07:29:18.0792051Z","301260800","301260800","431501312"
"2026-07-21T07:29:18.2046057Z","301264896","301264896","431501312"
"2026-07-21T07:29:18.3282918Z","301268992","301268992","431501312"
"2026-07-21T07:29:18.4524628Z","301281280","301281280","431501312"
"2026-07-21T07:29:18.5785436Z","301281280","301281280","431501312"
"2026-07-21T07:29:18.7017792Z","301281280","301281280","431501312"
"2026-07-21T07:29:18.8265294Z","301289472","301289472","431501312"
"2026-07-21T07:29:18.9522079Z","301289472","301289472","431501312"
"2026-07-21T07:29:19.0773317Z","301379584","301379584","431669248"
"2026-07-21T07:29:19.2034370Z","301379584","301379584","431669248"
"2026-07-21T07:29:19.3144030Z","301379584","301379584","431669248"
"2026-07-21T07:29:19.4241327Z","301379584","301379584","431669248"
"2026-07-21T07:29:19.5359932Z","301379584","301379584","431669248"
"2026-07-21T07:29:19.6465575Z","301387776","301387776","431669248"
"2026-07-21T07:29:19.7534013Z","301387776","301387776","431669248"
"2026-07-21T07:29:19.8631584Z","301391872","301391872","431669248"
"2026-07-21T07:29:19.9716515Z","301395968","301395968","431669248"
"2026-07-21T07:29:20.0824506Z","301400064","301400064","431669248"
"2026-07-21T07:29:20.1924876Z","301404160","301404160","431669248"
"2026-07-21T07:29:20.3012412Z","301404160","301404160","431669248"
"2026-07-21T07:29:20.4103224Z","301404160","301404160","431669248"
"2026-07-21T07:29:20.5218885Z","301404160","301404160","431669248"
"2026-07-21T07:29:20.6334755Z","301416448","301416448","431669248"
"2026-07-21T07:29:20.7444526Z","301432832","301432832","431669248"
"2026-07-21T07:29:20.8702277Z","301432832","301432832","431669248"
"2026-07-21T07:29:21.0143119Z","301441024","301441024","431669248"
"2026-07-21T07:29:21.1974658Z","301445120","301445120","431669248"
"2026-07-21T07:29:21.3094491Z","301449216","301449216","431669248"
"2026-07-21T07:29:21.4337150Z","301449216","301449216","431669248"
"2026-07-21T07:29:21.5584748Z","301457408","301457408","431669248"
"2026-07-21T07:29:21.6816665Z","301457408","301457408","431669248"
"2026-07-21T07:29:21.8108598Z","301457408","301457408","431669248"
"2026-07-21T07:29:21.9317454Z","301461504","301461504","431669248"
"2026-07-21T07:29:22.0415392Z","301465600","301465600","431669248"
"2026-07-21T07:29:22.1649446Z","301469696","301469696","431669248"
"2026-07-21T07:29:22.2760076Z","301473792","301473792","431669248"
"2026-07-21T07:29:22.3997326Z","301477888","301477888","431669248"
"2026-07-21T07:29:22.5185339Z","301486080","301486080","431669248"
"2026-07-21T07:29:22.6309193Z","301486080","301486080","431669248"
"2026-07-21T07:29:22.7404569Z","301486080","301486080","431669248"
"2026-07-21T07:29:22.8505082Z","301490176","301490176","431669248"
"2026-07-21T07:29:22.9602019Z","301498368","301498368","431669248"
"2026-07-21T07:29:23.0686337Z","301498368","301498368","431669248"
"2026-07-21T07:29:23.1776580Z","301498368","301498368","431669248"
"2026-07-21T07:29:23.2873323Z","301502464","301502464","431669248"
"2026-07-21T07:29:23.3956859Z","301502464","301502464","431669248"
"2026-07-21T07:29:23.5050529Z","301502464","301502464","431669248"
"2026-07-21T07:29:23.6154936Z","301502464","301502464","431669248"
"2026-07-21T07:29:23.7250108Z","301502464","301502464","431669248"
"2026-07-21T07:29:23.8348942Z","301502464","301502464","431669248"
"2026-07-21T07:29:23.9455143Z","301502464","301502464","431669248"
"2026-07-21T07:29:24.0561907Z","301510656","301510656","431669248"
"2026-07-21T07:29:24.1667768Z","301514752","301514752","431669248"
"2026-07-21T07:29:24.2763247Z","301518848","301518848","431669248"
"2026-07-21T07:29:24.4022130Z","301527040","301527040","431669248"
"2026-07-21T07:29:24.5292421Z","301527040","301527040","431669248"
"2026-07-21T07:29:24.6553251Z","301531136","301531136","431669248"
"2026-07-21T07:29:24.7814895Z","301539328","301539328","431669248"
"2026-07-21T07:29:24.8931651Z","301539328","301539328","431669248"
"2026-07-21T07:29:25.0031910Z","301543424","301543424","431669248"
"2026-07-21T07:29:25.1152703Z","301551616","301551616","431669248"
"2026-07-21T07:29:25.2404754Z","301551616","301551616","431669248"
"2026-07-21T07:29:25.3490224Z","301551616","301551616","431669248"
"2026-07-21T07:29:25.4579944Z","301551616","301551616","431669248"
"2026-07-21T07:29:25.5677572Z","301551616","301551616","431669248"
"2026-07-21T07:29:25.6798633Z","301551616","301551616","431669248"
"2026-07-21T07:29:25.7895338Z","301551616","301551616","431669248"
"2026-07-21T07:29:25.8991577Z","301559808","301559808","431669248"
"2026-07-21T07:29:26.0090153Z","301568000","301568000","431669248"
"2026-07-21T07:29:26.1196576Z","301568000","301568000","431669248"
"2026-07-21T07:29:26.2442519Z","301572096","301572096","431669248"
"2026-07-21T07:29:26.3545477Z","301576192","301576192","431669248"
"2026-07-21T07:29:26.4638524Z","301580288","301580288","431669248"
"2026-07-21T07:29:26.5745416Z","301580288","301580288","431669248"
"2026-07-21T07:29:26.7017800Z","301588480","301588480","431669248"
"2026-07-21T07:29:26.8271844Z","301592576","301592576","431669248"
"2026-07-21T07:29:26.9525344Z","301596672","301596672","431669248"
"2026-07-21T07:29:27.0637579Z","301596672","301596672","431669248"
"2026-07-21T07:29:27.1877374Z","301596672","301596672","431669248"
"2026-07-21T07:29:27.3096701Z","301604864","301604864","431669248"
"2026-07-21T07:29:27.4345845Z","301604864","301604864","431669248"
"2026-07-21T07:29:27.5591374Z","301608960","301608960","431669248"
"2026-07-21T07:29:27.6686653Z","301608960","301608960","431669248"
"2026-07-21T07:29:27.7928517Z","301608960","301608960","431669248"
